"account_id","id","city","coordinates","country","device_id","hl","ip","open_from_qr_code","platform","viewing_date"
"eu-west-1:7483655c-3e5c-4f0a-a4df-0564b3f7bdfa","9p0AnN","bad rappenau","[{""N"":""49.2385""},{""N"":""9.1018""}]","de","8292346666.1673854309506","fr","37.24.81.254","false","web","2023-01-16T07:31:56.199Z"
"eu-west-1:7483655c-3e5c-4f0a-a4df-0564b3f7bdfa","9zkPRK","colomiers","[{""N"":""1.3347""},{""N"":""43.6106""}]","fr","5752083506.1668813242600","en","80.9.240.131","false","app","2022-12-14T11:42:15.390Z"
"eu-west-1:7483655c-3e5c-4f0a-a4df-0564b3f7bdfa","AGS0ES","bordeaux","[{""N"":""-0.5805""},{""N"":""44.8404""}]","fr","6864572312.1668906081515","fr","92.184.98.239","false","app","2022-12-09T12:00:56.165Z"
"eu-west-1:7483655c-3e5c-4f0a-a4df-0564b3f7bdfa","B8WJje","strasbourg","[{""N"":""48.5839""},{""N"":""7.7455""}]","fr","2047358982.1667950602534","en","92.184.124.75","false","web","2023-01-18T22:27:15.804Z"
"eu-west-1:7483655c-3e5c-4f0a-a4df-0564b3f7bdfa","BGF1vj","paris","[{""N"":""48.8534""},{""N"":""2.3488""}]","fr","2047358982.1667950602534","fr","92.184.104.183","false","web","2022-11-13T00:10:22.731Z"
"eu-west-1:7483655c-3e5c-4f0a-a4df-0564b3f7bdfa","BI4FKg","paris","[{""N"":""48.8534""},{""N"":""2.3488""}]","fr","2047358982.1667950602534","fr","92.184.104.183","false","web","2022-11-12T23:13:17.025Z"
"eu-west-1:7483655c-3e5c-4f0a-a4df-0564b3f7bdfa","BJaKIP","bad rappenau","[{""N"":""49.2385""},{""N"":""9.1018""}]","de","8292346666.1673854309506","fr","37.24.81.254","false","web","2023-01-16T08:04:24.708Z"
"eu-west-1:7483655c-3e5c-4f0a-a4df-0564b3f7bdfa","CKGhYO","colomiers","[{""N"":""1.3347""},{""N"":""43.6106""}]","fr","6864572312.1668906081515","fr","80.9.240.131","false","app","2022-11-21T20:26:30.917Z"
"eu-west-1:7483655c-3e5c-4f0a-a4df-0564b3f7bdfa","DbL6v5","colomiers","[{""N"":""43.6106""},{""N"":""1.3347""}]","fr","2047358982.1667950602534","en","80.9.240.131","false","web","2023-01-02T22:31:37.725Z"
"eu-west-1:7483655c-3e5c-4f0a-a4df-0564b3f7bdfa","DlHZjZ","tournefeuille","[{""N"":""43.5887""},{""N"":""1.3192""}]","fr","4465346072.1676384921184","fr","86.249.148.170","false","web","2023-02-14T15:53:06.997Z"
"eu-west-1:7483655c-3e5c-4f0a-a4df-0564b3f7bdfa","E0Lh53","colomiers","[{""N"":""43.6106""},{""N"":""1.3347""}]","fr","4727897728.1681236204969","fr","86.249.148.170","false","web","2023-04-13T21:19:45.658Z"
"eu-west-1:7483655c-3e5c-4f0a-a4df-0564b3f7bdfa","EA446j","marrakesh","[{""N"":""31.6342""},{""N"":""-7.9999""}]","ma","8640793991.1672846010734","fr","105.158.102.141","false","web","2023-01-04T15:26:51.574Z"
"eu-west-1:7483655c-3e5c-4f0a-a4df-0564b3f7bdfa","EUfwYt","bad rappenau","[{""N"":""49.2385""},{""N"":""9.1018""}]","de","2047358982.1667950602534","en","37.24.81.254","false","web","2023-02-02T21:26:03.676Z"
"eu-west-1:7483655c-3e5c-4f0a-a4df-0564b3f7bdfa","Euf6Qx","colomiers","[{""N"":""1.3347""},{""N"":""43.6106""}]","fr","6864572312.1668906081515","fr","80.9.240.131","false","app","2022-11-21T18:45:53.023Z"
"eu-west-1:7483655c-3e5c-4f0a-a4df-0564b3f7bdfa","F2gMoN","paris","[{""N"":""48.8534""},{""N"":""2.3488""}]","fr","9302119558.1668442003455","fr","157.143.174.166","false","web","2022-11-14T16:06:45.159Z"
"eu-west-1:7483655c-3e5c-4f0a-a4df-0564b3f7bdfa","Fmeonm","bordeaux","[{""N"":""44.8404""},{""N"":""-0.5805""}]","fr","UKJEA06Vl","fr","92.184.98.178","false","","2022-11-10T19:00:45.780Z"
